
"03/07/2020 13:47:15"
"Observation"	"CO2B um/m"	"Integral"	"Peak"
316	6.58	0	0
317	6.76	0	0
318	6.79	0	0
319	6.80	0	0
320	6.81	0	0
321	6.76	0	0
322	6.44	0	0
323	6.37	0	0
324	6.50	0	0
325	6.47	0	0
326	6.53	0	0
327	6.50	0	0
328	6.38	0	0
329	6.12	0	0
330	6.17	0	0
331	6.35	0	0
332	6.22	0	0
333	6.47	0	0
334	6.21	0	0
335	6.19	0	0
336	6.41	0	0
337	6.30	0	0
338	6.13	0	0
339	6.53	0	0
340	6.09	0	0
341	6.42	0	0
342	6.13	0	0
343	6.46	0	0
344	6.11	0	0
345	6.08	0	0
346	6.49	0	0
347	6.41	0	0
348	6.14	0	0
349	6.27	0	0
350	6.22	0	0
351	6.38	0	0
352	6.14	0	0
353	6.30	0	0
354	6.62	0	0
355	6.32	0	0
356	6.41	0	0
357	6.24	0	0
358	6.27	0	0
359	6.41	0	0
360	5.71	0	0
361	5.68	0	0
362	5.32	0	0
363	4.82	0	0
364	5.32	0	0
365	10.93	0	0
366	33.35	0	0
367	88.01	0	0
368	183.31	0	0
369	320.94	0	0
370	474.61	0	0
371	602.80	0	0
372	703.49	0	0
373	782.23	0	0
374	839.55	0	0
375	877.87	0	0
376	896.01	0	0
377	896.30	0	0
378	879.77	0	0
379	848.29	0	0
380	806.10	0	0
381	756.58	0	0
382	702.78	0	0
383	648.79	0	0
384	594.28	0	0
385	543.92	0	0
386	495.91	0	0
387	452.45	0	0
388	412.95	0	0
389	376.77	0	0
390	344.98	0	0
391	316.18	0	0
392	289.80	0	0
393	265.92	0	0
394	245.18	0	0
395	225.89	0	0
396	208.17	0	0
397	192.47	0	0
398	178.70	0	0
399	165.34	0	0
400	153.76	0	0
401	143.24	0	0
402	133.72	0	0
403	125.13	0	0
404	117.30	0	0
405	110.67	0	0
406	103.96	0	0
407	98.69	0	0
408	93.03	0	0
409	88.64	0	0
410	84.11	0	0
411	79.18	0	0
412	75.36	0	0
413	70.96	0	0
414	66.81	0	0
415	63.08	0	0
416	58.82	0	0
417	55.02	0	0
418	51.75	0	0
419	47.97	0	0
420	44.97	0	0
421	42.10	0	0
422	39.28	0	0
423	37.16	0	0
424	34.63	0	0
425	32.96	0	0
426	31.39	0	0
427	29.58	0	0
428	28.59	0	0
429	26.98	0	0
430	25.58	0	0
431	24.60	0	0
432	23.61	0	0
433	22.46	0	0
434	21.07	0	0
435	19.70	0	0
436	18.61	0	0
437	17.65	0	0
438	16.69	0	0
439	15.40	0	0
440	14.34	0	0
441	13.84	0	0
442	12.71	0	0
443	11.72	0	0
444	11.45	0	0
445	10.82	0	0
446	9.88	0	0
447	9.47	0	0
448	9.35	0	0
449	8.36	0	0
450	8.11	0	0
451	7.77	0	0
452	7.02	0	0
453	6.88	0	0
454	6.56	0	0
455	5.97	0	0
456	5.51	0	0
457	5.15	0	0
458	4.85	0	0
459	4.58	0	0
460	4.19	0	0
461	4.03	0	0
462	4.00	0	0
463	3.95	0	0
464	3.36	0	0
465	3.26	0	0
466	3.09	0	0
467	2.75	0	0
468	2.61	0	0
469	2.43	0	0
470	2.33	0	0
471	2.63	0	0
472	2.18	0	0
473	1.85	0	0
474	2.05	0	0
475	2.07	0	0
476	1.51	0	0
477	1.52	0	0
478	1.61	0	0
479	1.87	0	0
480	1.29	0	0
481	1.23	0	0
482	1.60	0	0
483	1.42	0	0
484	1.07	0	0
485	1.22	0	0
486	1.29	0	0
487	0.82	0	0
488	0.90	0	0
489	1.14	0	0
490	0.85	0	0
491	0.75	0	0
492	0.97	0	0
493	0.60	0	0
494	0.79	0	0
495	0.91	0	0
496	0.49	0	0
497	0.92	0	0
498	0.45	0	0
499	0.63	0	0
500	0.65	0	0
501	0.35	0	0
502	0.55	0	0
503	0.58	0	0
504	0.23	0	0
505	0.34	0	0
506	0.60	0	0
507	0.25	0	0
508	0.07	0	0
509	0.16	0	0
510	0.33	0	0
511	0.43	0	0
512	0.23	0	0
513	0.24	0	0
514	0.27	0	0
515	0.15	0	0
516	-0.11	0	0
517	0.27	0	0
518	-0.02	0	0
519	-0.25	0	0
520	-0.08	0	0
521	0.09	0	0
522	-0.24	0	0
523	-0.30	0	0
524	-0.05	0	0
525	-0.28	0	0
526	-0.22	0	0
527	-0.49	0	0
528	-0.06	0	0
529	-0.15	0	0
530	-0.45	0	0
531	-0.58	0	0
532	-0.54	0	0
533	-0.54	0	0
534	-0.56	0	0
535	-0.37	0	0
536	-0.23	0	0
537	-0.58	0	0
538	-0.32	0	0
539	-0.27	0	0
540	-0.62	0	0
541	-0.23	0	0
542	-0.56	0	0
543	-0.68	0	0
544	-0.34	0	0
545	-0.43	0	0
546	-0.77	0	0
547	-0.57	0	0
548	-0.32	0	0
549	-0.49	0	0
550	-0.62	0	0
551	-0.68	0	0
552	-0.69	0	0
553	-0.80	0	0
554	-0.55	0	0
555	-0.33	0	0
556	-0.78	0	0
557	-0.71	0	0
558	-0.61	0	0
559	-0.39	0	0
560	-0.48	0	0
561	-0.67	0	0
562	-0.84	0	0
563	-0.79	0	0
564	-0.53	0	0
565	-0.60	0	0
566	-0.83	0	0
567	-0.83	0	0
568	-0.42	0	0
569	-0.59	0	0
570	-0.86	0	0
571	-0.82	0	0
572	-0.62	0	0
573	-0.50	0	0
574	-0.77	0	0
575	-0.87	0	0
576	-0.51	0	0
577	-0.91	0	0
578	-0.71	0	0
579	-0.95	0	0
580	-0.94	0	0
581	-0.73	0	0
582	-0.87	0	0
583	-0.46	0	0
584	-0.95	0	0
585	-0.84	0	0
586	-0.52	0	0
587	-1.02	0	0
588	-0.60	0	0
589	-1.00	0	0
590	-0.46	0	0
591	-0.95	0	0
592	-0.61	0	0
593	-0.97	0	0
594	-0.62	0	0
595	-0.95	0	0
596	-0.64	0	0
597	-0.66	0	0
598	-0.88	0	0
599	-0.72	0	0
600	-0.92	0	0
601	-0.87	0	0
602	-0.62	0	0
603	-1.13	0	0
604	-0.73	0	0
605	-0.65	0	0
606	-0.84	0	0
607	-0.98	0	0
608	-0.77	0	0
609	-0.60	0	0
610	-0.81	0	0
611	-1.03	0	0
612	-0.55	0	0
613	-0.92	0	0
614	-0.96	0	0
615	-0.67	0	0
616	-0.82	0	0
617	-0.88	0	0
618	-0.80	0	0
619	-0.93	0	0
620	-0.65	0	0
621	-0.74	0	0
622	-0.91	0	0
623	-1.06	0	0
624	-0.93	0	0
625	-0.70	0	0
626	-0.72	0	0
627	-1.02	0	0
628	-0.74	0	0
629	-0.84	0	0
630	-0.72	0	0
631	-0.73	0	0
632	-0.49	0	0
633	0.09	0	0
634	0.26	0	0
635	1.56	0	0
636	2.23	0	0
637	4.55	0	0
638	7.58	0	0
639	14.27	0	0
640	25.00	0	0
641	41.40	0	0
642	63.70	0	0
643	90.92	0	0
644	123.21	0	0
645	157.65	0	0
646	193.47	0	0
647	229.40	0	0
648	261.97	0	0
649	291.60	0	0
650	317.38	0	0
651	339.18	0	0
652	356.62	0	0
653	370.49	0	0
654	382.69	0	0
655	393.36	0	0
656	403.05	0	0
657	411.54	0	0
658	419.62	0	0
659	428.06	0	0
660	435.82	0	0
661	443.83	0	0
662	452.43	0	0
663	459.93	0	0
664	467.78	0	0
665	475.89	0	0
666	482.66	0	0
667	488.99	0	0
668	495.97	0	0
669	501.06	0	0
670	507.43	0	0
671	511.89	0	0
672	517.07	0	0
673	522.59	0	0
674	526.35	0	0
675	530.16	0	0
676	534.15	0	0
677	537.78	0	0
678	539.93	0	0
